country,link,description,title
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=7646643,"Atlanta Mayor. After serving in World War II in the Army's Quartermaster Corps and working briefly for Georgia Governor Ellis Arnall, Allen ran his family's furniture business in Atlanta, eventually becoming president of that city's chamber of commerce. He defeated Lester Maddox to become mayor of Atlanta in 1961, and served in that office from 1962 to 1970. During his term, Allen took several steps to desegregate Atlanta, including removing signs designating water fountains and other public...[Read More] (Bio by: Stuthehistoryguy)","Allen Jr., Ivan Earnest"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=57827584,"Professional Wrestler, Trainer. He was born in Cartersville, Georgia, and lived there all his life. Allen became a fan of pro-wrestling as a child and by age 14 was doing ring announcing for the Sports Palace in his hometown. He attended Cass High School and Shorter Collage in Rome, Georgia before making his wrestling debut in 1975. In 1980 he was wrestling under a mask with the name of ""Nightmare"" Ted Allen. His wrestling may not have earned him a lot of Championships, but his activities as a...[Read More] (Bio by: Hilda Duell)","Allen (Lipscomb), Ted (Ted Allen)"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=1189,"Rock Musician. The Allman family was living near Norfolk, Virgina, when Army Sergeant Willis Alllman was murdered on the day after Christmas, 1949. His widow, Geraldine, took her sons Gregg, two, and Duane, three, to live in Daytona Beach, Florida. In 1959 while on a family trip the boys saw B.B. King perform. Their musical dreams were born at that show.  They both started playing in local groups and Duane soon quit school to work on his music. They formed a band called The Escorts and later...[Read More] (Bio by: Julie Karen Hancock  (Cooper) Jackson)Cause of death: Motorcycle accident","Allman, Duane (Howard)"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=7116452,"CSA Congressman. Served in the Confederate Army during the Civil War. Represented Georgia in the Confederate Congress from 1864 to 1865. Also served as a State Court Judge from 1856 to 1858, as a member of the Georgia State House of Representatives in 1859, as the Georgia State Attorney General from 1880 to 1890.","Anderson, Clifford"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=14352181,"Olympic gold medalist in weightlifting. Widely regarded to be the world's strongest man, he established national, Olympic, and world records in the superheavyweight class of weightlifting in the 1950s and early 1960s. He won the gold medal in the Munich Olympics of 1955 and the Melbourne Olympics of 1956. In addition, he visited the Soviet Union during the cold war and defeated the Soviet lifters, resulting in a standing ovation from some 15,000 Soviet observers, who dubbed him a ""wonder of...[Read More]","Anderson, Paul Edward"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=9853,"Civil War Confederate Brigadier General. An 1857 graduate of West Point, he graduated 35th in his class, then served at a New York state garrison and at Fort Walla Walla in Washington Territory as a lieutenant of infantry. At the time of the secession crisis, he accepted a commission as a Confederate lieutenant of artillery and was listed as ""absent without leave"" from the United States Army until May 17, 1861, when his resignation was received. Promoted to Major September 1861, he assumed the...[Read More] (Bio by: Ugaalltheway)","Anderson, BG. Robert Houston"
Browse by State: Georgia,/cgi-bin/fg.cgi?page=gr&GRid=15995115,"280 Feet south of this location on June 18, 1862, seven of the Union Army's brave Andrews Raiders were hanged and buried.  On April 12, 1862, 22 Andrews Raiders seized the General, a tenderand three boxcars at Big Shanty (now Kennesaw) and raced toward Chattanooga on the Western &amp; Atlantic Railroad in an effort to burn bridges and otherwise dismember a supply artery vital to the Confederacy. They had covered 87 miles when the General was overtaken by valiant  pursuers led by Conducter Fuller...[Read More] (Bio by: Brent Nimmo)",Andrews Raiders Memorial
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=1,"Scientist. A native of New York City, New York, he studied and taught mathematics and astronomy at the Free Academy in New York, the University of Michigan, Cambridge Massachusetts, and at Pulkova, Russia. In 1868 he was named director of the Cincinnati Observatory in Ohio. While there he developed a system of telegraphic weather reports, daily weather maps and weather forecasts. At his urging Cincinnati became the meteorological observation headquarters for the United States. His project was...[Read More] (Bio by: Bigwoo)","Abbe, Cleveland"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=19106,"Civil War Union Brevet Brigadier General. The son of Colonel John J. Abert, who was the United States Army's Chief of Topographical Engineers for many years before the Civil War, he was commissioned directly into the United States Army as a Lieutenant of Artillery in 1855. After the outbreak of the Civil War, he was promoted to Captain, and served first in the 3rd United States Regular Cavalry, then in the 6th United States Regular Cavalry, and participated in the early battles of the Spring...[Read More] (Bio by: Russ Dodge)","Abert, William Stretch"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=6661729,"Presidential Cabinet Secretary. Educated at the Harvard Law School, early in his career he clerked for Supreme Court Justice Louis Brandeis, prior to entering the Franklin D. Roosevelt Administration as Under Secretary of the Treasury. During World War II, he served at the Department of State as Assistant Secretary of State for Economic Affairs and after the war, he remained in the Truman Administration as Under Secretary of State for Secretary of State James F. Byrnes. On January 21, 1949...[Read More] (Bio by: John ""J-Cat"" Griffith)","Acheson, Dean Gooderham"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=5,"Author, Historian.  Born in Boston, Massachusetts  to one of America's most prominent families, his father was American Diplomat and scholar  Charles Francis Adams, his grandfather was 6th United States President John Quincy Adams, and his great-grandfather was 2nd United States President ...[Read More] (Bio by: Paul G. Healy)","Adams, Henry Brooks"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=22633912,"6th United States President, Presidential Cabinet Secretary, Diplomat, US Senator and Congressman. He served as the 6th United States resident from 1825 until 1829. He was the 2nd child and oldest son of 2nd United States President John Adams and his wife Abigail Smith Adams.","Adams, John Quincy"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=18147166,"Memorial.  This monument, dedicated on July 18, 1998, honors the African American soldiers who fought in the United States Colored Troop regiments during the Civil War. Encircled on three sides by a Wall of Honor, the monument features sculpted bronze images of three uniformed soldiers and a sailor. The back of the monument depicts a family seeing their son off to war. The memorial stands nearly ten feet tall and was erected at the center of a granite paved plaza near the entrance to a metro...[Read More] (Bio by: K Guy)",African American Civil War Memorial
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=39589509,"Lincoln Assassination Trial Attorney. A Massachusetts native he moved with his parents to Hardwick, Vermont when he was ten years old. As a young man he studied at Middlebury College from 1855 to 1857. Drawn to journalism he became the editor of the ""Burlington Sentinel"". After he married Sarah Olivia Weston (1846-1900), daughter of Judge Edmund Weston in Randolph, Vermont, he began the study of law. In 1859 he was admitted to the Orange County, Vermont bar, moving to Washington, D.C. in 1860...[Read More] (Bio by: SLGMSD)","Aiken, Frederick Argyle"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=6417167,"US Congressman. He was thrice elected to represent Alabama's 4th District in the United States House of Representatives, serving first from 1896 to 1897, then from 1898 to 1899, then finally from 1900 to 1901. He was the brother of Congressman Truman H. Aldrich.","Aldrich, William Farrington"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=7247643,"US Diplomat. Served as the United States Ambassador to Iran from 1946 to 1948, United States Ambassador to Yugoslavia from 1949 to 1953, United States Ambassador to India from 1953 to 1954, United States Ambassador to Nepal from 1953 to 1954, and United States Ambassador to Greece from 1956 to 1957. From 1958 to 1960, he was director of the United States Information Agency. In 1966, he was named as a Career Ambassador, the highest post in the Foreign Service.","Allen Sr., George Venable"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=22633854,"US Congressman.  Elected as a Whig to represent Massachusetts' 6th District in the US House of Representatives,  he served for six months in 1839.  His death came before the Congress assembled.  Alvord was born in Greenfield,  Massachusetts.  An 1827 graduate of Dartmouth College in Hanover,  New Hampshire,  he was admitted to the bar in 1830 and returned to his hometown to set up practice.  He was professor pro tempore at the Cambridge Law School (1833),  a member of the State House of...[Read More] (Bio by: Bobb Edwards)","Alvord, James Church"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=7594147,"Author. Her known books are ""Topsy Turvy and the Gold Star,"" ""Circling Africa,"" ""Zigzagging the South Seas,"" among several others. Besides being a noted author, she was an Ambassador to Japan, and during World War I she was with the District of Columbia Red Cross Refreshment Corp. During World War II, she was a volunteer nurse's aid, and was decorated with the Elizabeth Croix de Guerre. (Bio by: Laurie)","Anderson, Isabel"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=7365658,"US Senator. Following service throughout the Revolutionary War, in which he attained the rank of Major, he was admitted to the bar and practiced law in Delaware. Appointed United States Judge of the Territory South of the Ohio River in 1791, he later was a member of the first Tennessee Constitutional Convention. He was elected to the United States Senate from Tennessee and served from 1797 to 1815. He served as the first Comptroller of the United States Treasury from 1815 to 1836. He was the...[Read More] (Bio by: Garver Graver)","Anderson, Joseph Inslee"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=22633852,"US Congressman.  Born near Lancaster,  Garrard County,  Kentucky,  he studied law and was admitted to the bar in 1823.  He quickly became a rising star in state politics,  especially after marrying the daughter of future Kentucky Governor William Owsley.  Anderson served in the State House of Representatives from 1828 to 1829,  in 1832,  and from 1836 to 1838.  During that time he purchased Owsley's 300-acre farm near Lancaster,  ""Pleasant Retreat"",  and it would remain in the family until...[Read More] (Bio by: Bobb Edwards)","Anderson, Simeon H."
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=22633894,"US Congressman. Elected as a Democrat to represent Maine's 4th District in the Thirty-Second Congress, he served from 1851 until his death in office. Andrews was born in Paris, Oxford County, Maine. He graduated from Hebron Academy, was admitted to the bar in 1837, and established a law practice in his hometown. From 1839 to 1843 he was a member of the State House of Representatives, serving as Speaker in 1842, followed by three years as clerk of the courts for Oxford County. In 1848 he was a...[Read More] (Bio by: Bobb Edwards)","Andrews, Charles"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=90807691,"Architect, Civil War Confederate Army Officer. He was a prominent figure in pre-Civil War architecture and design, being responsible for numerous buildings in Maryland and Washington, DC. After the Civil War started he joined thr Confederate Army, becoming Captain and commander of the 1st Maryland (Confederate) Light Artillery Battery. He was later promoted to Major and was placed in charge of a divisional artillery in Brigadier General Charles S. Winder's Army of Northern Virginia Division. He...[Read More]","Andrews, Richard Snowden"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=17655491,"Civil War Union Brevet Brigadier General. He served forty two years in the United States Army, beginning at his commissioning of Major and Paymaster on May 22, 1822, and ending at his retirement on November 29, 1864. He served most of his career in the Paymaster Department, serving after the Civil War began first as Lieutenant Colonel and Chief Paymaster on the staff of Major General Henry W. Hallack, then as  Colonel and Chief Paymaster, United States Regular Army. He did see extensive field...[Read More] (Bio by: Russ Dodge)","Andrews, Timothy Patrick"
Browse by State: District Of Columbia,/cgi-bin/fg.cgi?page=gr&GRid=7143828,"US Congressman. He was elected as a Democrat to represent Ohio's 5th Congressional District in the United States House of Representatives, serving from 1907 to 1915.","Ansberry, Timothy Thomas"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=8045162,"Continental Congressman. A graduate of Yale University and a lawyer, in the days before the beginning of the American Revolution he became a prominent member of the Committee of Safety for Connecticut. When the revolution begane and Connecticut created a state legislature that wasnt under British royal dominion, he was elected as a delegate in 1776, serving until 1781. In 1778 he was appointed as a Delegate from Connecticut to the Second Continental Congress in 1777, but did not serve until...[Read More]","Adams, Andrew"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=16028856,"Artist. He gained renown as an abstract artist, color-theorist, teacher and author. Beginning his career in Weimar, Germany, he taught at the famous Bauhaus school of fine arts. He fled from Nazi Germany to the United States in 1933, and taught at Black Mountain College in North Carolina. After teaching at Yale University, he became a United States citizen in 1939. Starting in 1949, he painted colored squares within squares, using unmixed color directly from the tube. He named this well-known...[Read More] (Bio by: Jan Franco)","Albers, Josef"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=8045237,"US Congressman. A lawyer and graduate of the Litchfield Law School, he was made a member of the Connecticut State Bar Association in 1786. After serving six years in the Connecticut State Legislature, he was elected as a Federalist to represent Connecticut as an At-Large Delegate to the United States House of Representatives, serving from 1797 to 1799. During his time on office he was an ally of President John Adams in passing the Alien and Sedition Acts of 1798. After his congressional tenure...[Read More]","Allen, John"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=4081,"Baseball Hall of Fame Sportscaster. Born Melvin Allen Israel, he was best known as the Voice of the New York Yankees, broadcasting their games during the glory years from 1949 to 1964. In 1937, Allen was invited to join the CBS Radio Network in New York as an announcer, where he was the main spokesman for the network's drama and game shows. He started to broadcast games for both the Yankees and the Giants in 1939 and was coined for his trademark praise, ""How about that?"". After serving in the...[Read More] (Bio by: John ""J-Cat"" Griffith)","Allen (Israel), Mel (Melvin Allen)"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=89197401,"Journalist. Educated at Harvard University, he has a newspaper journalism career that thirty-seven years, obtained a following beginning with his reportage of the 1934 Lindbergh baby kidnapping case. During World War II, he served in the United States Navy with the ""Flying Tigers"".  Known for being a powerbroker through his varied political connections, as well as his popular column, ""Matter Of Fact,"" which was published in over 200 papers nationwide, he was a popular liberal voice. Later in...[Read More] (Bio by: Diane ღ)","Alsop, Joseph Wright"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=19607,"Journalist. He became widely acclaimed for his political news reporting and commentary. His career lasted from 1945 to 1974, and he wrote for the ""New York Herald Tribune"", the ""Saturday Evening Post"", and ""Newsweek"". He was the younger brother of journalist Joseph Wright Alsop.","Alsop, Stewart"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=8237213,"Professional Wrestler. Known as ""The Sicilian"" in the WWF(E) for almost 25 years, he and Lou Albano formed the Tag Team of ""The Sicilians"" in the late 1960s. Together they won the United States Tag Team Title, which became the World tag team Title. He was once a life guard and American Red Cross Swimming Instructor, and served in the United States Army with the 82nd Airborne Paratrooper Division from 1946 to 1948. (Bio by: Miss Hildy)","Altomare, Anthony C. 'Tony'"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=11751089,"Actor. Acclaimed for his roles on both the theater and motion pictures, he is best remembered for his role as 'Jack Merrick' in the 1929 file ""The Trespasser,"" with Gloria Swanson and Wally Albright....[Read More]","Ames, Robert"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=1807,"Composer.  In his time he was arguably the United States' most popular creator of light music, with his miniature ""Sleigh Ride"" (1948) is an immensely popular Christmastime favorite and staple, both in its original version and as a song with lyrics by Mitchell Parrish.  Other Anderson compositions, including ""Fiddle-Faddle"" (1947),  ""The Typewriter"" (1950),  and ""The Sandpaper Ballet"" (1954),  are still staples of the ""pops"" orchestral repertoire.  Leroy Anderson was born in Cambridge...[Read More] (Bio by: Bobb Edwards)","Anderson, Leroy"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=33706453,"Playwright, Screenwriter. He is best known for his play ""Tea and Sympathy"" (1953 to 1955), which was made into a successful motion picture in 1956. Born in New York City, New York, Anderson was educated at Harvard University. After serving in the United States Navy during World War II, he studied at the Dramatic Workshop of the New School. He began his career as a writer during the early years of television for such programs as ""The Philco Television Playhouse"", ""Goodyear Television Playhouse""...[Read More] (Bio by: C.S.)","Anderson, Robert Woodruff"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=20717575,"Actress, Producer, Director, and Author. Best know for her work in silent films in Germany in the 1910s and 1920s, she was one of the top box office draws in Germany during that time. Born Vernal Edna Andrews, she was the daughter of vaudeville and circus performers and got her start in vaudeville at an early age. Touring Europe as a stage actress, she was stranded in Germany in 1914 when World War I broke out. She then began her career in German silent films. After the US entered the war in...[Read More] (Bio by: Kenneth Gilbert)","Andra (Andrews), Fern (Vernal)"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=29193217,"49th Connecticut Governor. An 1854 graduate of Amherst College in Amherst, Massachusetts, he was admitted to the Connecticut State Bar Association as a lawyer in 1860. In 1863 he was named by John Henry Hubbard to take change of Hubbard's considerable law office and practice in Litchfield, Connecticut when Hubbard was elected to the United States Congress. After a number of terms in the Connecticut State Legislature Charles B. Andrews was elected in 1878 as Republican to serve as Governor of...[Read More]","Andrews, Charles Bartlett"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=24408351,"US Congressman. He devoted most of his life to agricultural pursuits and was president of the Bank of East Haddam, Connecticut. He was a member of the State House of Representatives in 1839, 1842, 1844 and in 1851. In 1857, he was elected as a Democrat to the Thirty-fifth Congress, serving until 1859. He declined to be a candidate for re-nomination and resumed work on his plantation until his death. (Bio by: John ""J-Cat"" Griffith)","Arnold, Samuel"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=7190605,"Historian. He became a graduate of Dartmouth and the Yale Graduate School. As a member of the Yale faculty, he became the first Japanese professor at a major university in the United States. He dedicated himself to serving as a bridge between the United States and Japan to promote amicable relations. Some of his remains are also interred at Konjiki cemetery at his hometown of Nihonmatsu, Fukushima, Japan. (Bio by: Warrick L. Barrett)","Asakawa, Kanichi"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=12303,"Religous Leader, Social Reformer. Agent of the African Colonization Society which promoted the settlement of Blacks at Monrovia, Liberia.","Ashmun, Jehudi"
Browse by State: Connecticut,/cgi-bin/fg.cgi?page=gr&GRid=19608,"Scientist. He became a noted agricultural chemist, and founded the first agricultural experimentation stations in the  United States. From 1873 to 1907 he headed the Department of Agriculture's experiment stations, and helped to  show how human metabolism is linked to the laws of conservation.","Atwater, Wilbur Olin"
